District,Total,Date
Kanniyakumari,153720,25-05-2021
Karur,82611,25-05-2021
Krishnagiri,174937,25-05-2021
Madurai,279605,25-05-2021
Nagapattinam,75832,25-05-2021
Namakkal,185690,25-05-2021
The Nilgiris,176046,25-05-2021
Perambalur,43989,25-05-2021
Pudukkottai,110391,25-05-2021
Ramanathapuram,93340,25-05-2021
Ranipet,59507,25-05-2021
Salem,428483,25-05-2021
Sivagangai,89781,25-05-2021
Tenkasi,80084,25-05-2021
Thanjavur,175452,25-05-2021
Theni,72454,25-05-2021
Thoothukudi,110103,25-05-2021
Tiruchirapalli,262744,25-05-2021
Tirunelveli,96652,25-05-2021
Tirupathur,83696,25-05-2021
Tiruppur,173525,25-05-2021
Tiruvallur,229634,25-05-2021
Tiruvannamalai,108461,25-05-2021
Tiruvarur,62203,25-05-2021
Vellore,192347,25-05-2021
Villupuram,132868,25-05-2021
Virudhunagar,236987,25-05-2021
Ariyalur,19310,26-03-2021
Chengalpattu,103298,26-03-2021
Chennai,630666,26-03-2021
Coimbatore,157213,26-03-2021
Cuddalore,62285,26-03-2021
Dharmapuri,45483,26-03-2021
Dindigul,57424,26-03-2021
Erode,58676,26-03-2021
Kallakurichi,27538,26-03-2021
Kancheepuram,32071,26-03-2021
Kanniyakumari,51613,26-03-2021
Karur,29377,26-03-2021
Krishnagiri,73932,26-03-2021
Madurai,104328,26-03-2021
Nagapattinam,27447,26-03-2021
Namakkal,69773,26-03-2021
The Nilgiris,62676,26-03-2021
Perambalur,19107,26-03-2021
Pudukkottai,36701,26-03-2021
Ramanathapuram,28437,26-03-2021
Ranipet,20019,26-03-2021
Salem,168606,26-03-2021
Sivagangai,32590,26-03-2021
Tenkasi,31620,26-03-2021
Thanjavur,67585,26-03-2021
Theni,23509,26-03-2021
Thoothukudi,32555,26-03-2021
Tiruchirapalli,97975,26-03-2021
Tirunelveli,33281,26-03-2021
Tirupathur,26398,26-03-2021
Tiruppur,56398,26-03-2021
Tiruvallur,76380,26-03-2021
Tiruvannamalai,39762,26-03-2021
Tiruvarur,19031,26-03-2021
Vellore,69561,26-03-2021
Villupuram,66578,26-03-2021
Virudhunagar,88806,26-03-2021
Ariyalur,38323,26-04-2021
Chengalpattu,222627,26-04-2021
Chennai,1361919,26-04-2021
Coimbatore,387961,26-04-2021
Cuddalore,128795,26-04-2021
Dharmapuri,79630,26-04-2021
Dindigul,123529,26-04-2021
Erode,122448,26-04-2021
Kallakurichi,51403,26-04-2021
Kancheepuram,61592,26-04-2021
Kanniyakumari,107297,26-04-2021
Karur,51555,26-04-2021
Krishnagiri,122430,26-04-2021
Madurai,206730,26-04-2021
Nagapattinam,52005,26-04-2021
Namakkal,128158,26-04-2021
The Nilgiris,123654,26-04-2021
Perambalur,31533,26-04-2021
Pudukkottai,74810,26-04-2021
Ramanathapuram,65292,26-04-2021
Ranipet,42553,26-04-2021
Salem,317252,26-04-2021
Sivagangai,60488,26-04-2021
Tenkasi,55374,26-04-2021
Thanjavur,129652,26-04-2021
Theni,53805,26-04-2021
Thoothukudi,71251,26-04-2021
Tiruchirapalli,195481,26-04-2021
Tirunelveli,65276,26-04-2021
Tirupathur,62459,26-04-2021
Tiruppur,122816,26-04-2021
Tiruvallur,162512,26-04-2021
Tiruvannamalai,76334,26-04-2021
Tiruvarur,40779,26-04-2021
Vellore,155016,26-04-2021
Villupuram,95075,26-04-2021
Virudhunagar,173831,26-04-2021
Ariyalur,61063,26-05-2021
Chengalpattu,316891,26-05-2021
Chennai,1911758,26-05-2021
Coimbatore,542442,26-05-2021
Cuddalore,177363,26-05-2021
Dharmapuri,118193,26-05-2021
Dindigul,179988,26-05-2021
Erode,191816,26-05-2021
Kallakurichi,78398,26-05-2021
Kancheepuram,104551,26-05-2021
Kanniyakumari,165327,26-05-2021
Karur,89699,26-05-2021
Krishnagiri,179852,26-05-2021
Madurai,285503,26-05-2021
Nagapattinam,80686,26-05-2021
Namakkal,195766,26-05-2021
The Nilgiris,179805,26-05-2021
Perambalur,46244,26-05-2021
Pudukkottai,116417,26-05-2021
Ramanathapuram,96249,26-05-2021
Ranipet,61970,26-05-2021
Salem,443133,26-05-2021
Sivagangai,94312,26-05-2021
Tenkasi,84020,26-05-2021
Thanjavur,177789,26-05-2021
Theni,74312,26-05-2021
Thoothukudi,116571,26-05-2021
Tiruchirapalli,274388,26-05-2021
Tirunelveli,101627,26-05-2021
Tirupathur,86991,26-05-2021
Tiruppur,184336,26-05-2021
Tiruvallur,240162,26-05-2021
Tiruvannamalai,112199,26-05-2021
Tiruvarur,67985,26-05-2021
Vellore,196473,26-05-2021
Villupuram,135936,26-05-2021
Virudhunagar,246034,26-05-2021
Ariyalur,19741,27-03-2021
Chengalpattu,107697,27-03-2021
Chennai,662870,27-03-2021
Coimbatore,166924,27-03-2021
Cuddalore,64791,27-03-2021
Dharmapuri,46348,27-03-2021
Dindigul,58742,27-03-2021
Erode,60786,27-03-2021
Kallakurichi,28326,27-03-2021
Kancheepuram,32906,27-03-2021
Kanniyakumari,52912,27-03-2021
Karur,30456,27-03-2021
Krishnagiri,75817,27-03-2021
Madurai,109868,27-03-2021
Nagapattinam,27977,27-03-2021
Namakkal,71882,27-03-2021
The Nilgiris,65116,27-03-2021
Perambalur,19373,27-03-2021
Pudukkottai,37900,27-03-2021
Ramanathapuram,29325,27-03-2021
Ranipet,20631,27-03-2021
Salem,173875,27-03-2021
Sivagangai,33274,27-03-2021
Tenkasi,32079,27-03-2021
Thanjavur,69429,27-03-2021
Theni,24226,27-03-2021
Thoothukudi,33313,27-03-2021
Tiruchirapalli,101615,27-03-2021
Tirunelveli,33989,27-03-2021
Tirupathur,27352,27-03-2021
Tiruppur,58079,27-03-2021
Tiruvallur,79074,27-03-2021
Tiruvannamalai,40611,27-03-2021
Tiruvarur,19670,27-03-2021
Vellore,74051,27-03-2021
Villupuram,68549,27-03-2021
Virudhunagar,94249,27-03-2021
Ariyalur,39293,27-04-2021
Chengalpattu,227969,27-04-2021
Chennai,1396797,27-04-2021
Coimbatore,398724,27-04-2021
Cuddalore,132829,27-04-2021
Dharmapuri,81892,27-04-2021
Dindigul,127507,27-04-2021
Erode,125689,27-04-2021
Kallakurichi,52362,27-04-2021
Kancheepuram,63085,27-04-2021
Kanniyakumari,110248,27-04-2021
Karur,52382,27-04-2021
Krishnagiri,123938,27-04-2021
Madurai,213287,27-04-2021
Nagapattinam,52902,27-04-2021
Namakkal,132901,27-04-2021
The Nilgiris,125910,27-04-2021
Perambalur,32004,27-04-2021
Pudukkottai,76214,27-04-2021
Ramanathapuram,66670,27-04-2021
Ranipet,42954,27-04-2021
Salem,323418,27-04-2021
Sivagangai,61640,27-04-2021
Tenkasi,56564,27-04-2021
Thanjavur,132375,27-04-2021
Theni,54803,27-04-2021
Thoothukudi,73721,27-04-2021
Tiruchirapalli,199534,27-04-2021
Tirunelveli,66768,27-04-2021
Tirupathur,63644,27-04-2021
Tiruppur,127520,27-04-2021
Tiruvallur,165685,27-04-2021
Tiruvannamalai,77484,27-04-2021
Tiruvarur,41865,27-04-2021
Vellore,158051,27-04-2021
Villupuram,96648,27-04-2021
Virudhunagar,176467,27-04-2021
Ariyalur,63606,27-05-2021
Chengalpattu,330259,27-05-2021
Chennai,1947518,27-05-2021
Coimbatore,553201,27-05-2021
Cuddalore,181808,27-05-2021
Dharmapuri,125595,27-05-2021
Dindigul,189601,27-05-2021
Erode,201516,27-05-2021
Kallakurichi,83458,27-05-2021
Kancheepuram,115461,27-05-2021
Kanniyakumari,176584,27-05-2021
Karur,92373,27-05-2021
Krishnagiri,187299,27-05-2021
Madurai,301882,27-05-2021
Nagapattinam,86945,27-05-2021
Namakkal,205800,27-05-2021
The Nilgiris,181336,27-05-2021
Perambalur,47998,27-05-2021
Pudukkottai,125155,27-05-2021
Ramanathapuram,99475,27-05-2021
Ranipet,65153,27-05-2021
Salem,456865,27-05-2021
Sivagangai,99838,27-05-2021
Tenkasi,90646,27-05-2021
Thanjavur,195097,27-05-2021
Theni,76907,27-05-2021
Thoothukudi,124319,27-05-2021
Tiruchirapalli,291856,27-05-2021
Tirunelveli,109483,27-05-2021
Tirupathur,91673,27-05-2021
Tiruppur,198027,27-05-2021
Tiruvallur,251814,27-05-2021
Tiruvannamalai,118748,27-05-2021
Tiruvarur,75387,27-05-2021
Vellore,202792,27-05-2021
Villupuram,139564,27-05-2021
Virudhunagar,255125,27-05-2021
Ariyalur,40144,28-04-2021
Chengalpattu,235184,28-04-2021
Chennai,1422155,28-04-2021
Coimbatore,410986,28-04-2021
Cuddalore,135943,28-04-2021
Dharmapuri,83899,28-04-2021
Dindigul,131273,28-04-2021
Erode,128959,28-04-2021
Kallakurichi,53404,28-04-2021
Kancheepuram,64335,28-04-2021
Kanniyakumari,113531,28-04-2021
Karur,53216,28-04-2021
Krishnagiri,126674,28-04-2021
Madurai,216713,28-04-2021
Nagapattinam,54417,28-04-2021
Namakkal,134714,28-04-2021
The Nilgiris,128142,28-04-2021
Perambalur,32692,28-04-2021
Pudukkottai,77693,28-04-2021
Ramanathapuram,67897,28-04-2021
Ranipet,43931,28-04-2021
Salem,328599,28-04-2021
Sivagangai,63073,28-04-2021
Tenkasi,57706,28-04-2021
Thanjavur,135034,28-04-2021
Theni,56059,28-04-2021
Thoothukudi,74865,28-04-2021
Tiruchirapalli,203713,28-04-2021
Tirunelveli,68053,28-04-2021
Tirupathur,64892,28-04-2021
Tiruppur,130557,28-04-2021
Tiruvallur,170688,28-04-2021
Tiruvannamalai,78785,28-04-2021
Tiruvarur,43081,28-04-2021
Vellore,160528,28-04-2021
Villupuram,97958,28-04-2021
Virudhunagar,178986,28-04-2021
Ariyalur,66831,28-05-2021
Chengalpattu,345632,28-05-2021
Chennai,1982546,28-05-2021
Coimbatore,563463,28-05-2021
Cuddalore,186204,28-05-2021
Dharmapuri,132918,28-05-2021
Dindigul,197923,28-05-2021
Erode,207672,28-05-2021
Kallakurichi,88368,28-05-2021
Kancheepuram,122780,28-05-2021
Kanniyakumari,179441,28-05-2021
Karur,93690,28-05-2021
Krishnagiri,197902,28-05-2021
Madurai,322760,28-05-2021
Nagapattinam,93132,28-05-2021
Namakkal,212971,28-05-2021
The Nilgiris,183687,28-05-2021
Perambalur,50688,28-05-2021
Pudukkottai,130628,28-05-2021
Ramanathapuram,103970,28-05-2021
Ranipet,68948,28-05-2021
Salem,472436,28-05-2021
Sivagangai,105685,28-05-2021
Tenkasi,98057,28-05-2021
Thanjavur,204683,28-05-2021
Theni,80712,28-05-2021
Thoothukudi,131780,28-05-2021
Tiruchirapalli,306227,28-05-2021
Tirunelveli,118452,28-05-2021
Tirupathur,96194,28-05-2021
Tiruppur,212505,28-05-2021
Tiruvallur,264532,28-05-2021
Tiruvannamalai,127363,28-05-2021
Tiruvarur,82738,28-05-2021
Vellore,210250,28-05-2021
Villupuram,144274,28-05-2021
Virudhunagar,262073,28-05-2021
Ariyalur,20240,29-03-2021
Chengalpattu,112329,29-03-2021
Chennai,701721,29-03-2021
Coimbatore,179560,29-03-2021
Cuddalore,67416,29-03-2021
Dharmapuri,47621,29-03-2021
Dindigul,60300,29-03-2021
Erode,63327,29-03-2021
Kallakurichi,29452,29-03-2021
Kancheepuram,33641,29-03-2021
Kanniyakumari,54595,29-03-2021
Karur,31553,29-03-2021
Krishnagiri,77613,29-03-2021
Madurai,114997,29-03-2021
Nagapattinam,28786,29-03-2021
Namakkal,74209,29-03-2021
The Nilgiris,67849,29-03-2021
Perambalur,19903,29-03-2021
Pudukkottai,39395,29-03-2021
Ramanathapuram,30469,29-03-2021
Ranipet,21443,29-03-2021
Salem,179981,29-03-2021
Sivagangai,34169,29-03-2021
Tenkasi,32866,29-03-2021
Thanjavur,71881,29-03-2021
Theni,24896,29-03-2021
Thoothukudi,34334,29-03-2021
Tiruchirapalli,104982,29-03-2021
Tirunelveli,35014,29-03-2021
Tirupathur,28422,29-03-2021
Tiruppur,60536,29-03-2021
Tiruvallur,82034,29-03-2021
Tiruvannamalai,41873,29-03-2021
Tiruvarur,20168,29-03-2021
Vellore,76871,29-03-2021
Villupuram,70206,29-03-2021
Virudhunagar,99056,29-03-2021
Ariyalur,41104,29-04-2021
Chengalpattu,242809,29-04-2021
Chennai,1450528,29-04-2021
Coimbatore,414431,29-04-2021
Cuddalore,138848,29-04-2021
Dharmapuri,84915,29-04-2021
Dindigul,133368,29-04-2021
Erode,131676,29-04-2021
Kallakurichi,54273,29-04-2021
Kancheepuram,65598,29-04-2021
Kanniyakumari,114527,29-04-2021
Karur,53701,29-04-2021
Krishnagiri,127632,29-04-2021
Madurai,220013,29-04-2021
Nagapattinam,55764,29-04-2021
Namakkal,135755,29-04-2021
The Nilgiris,129190,29-04-2021
Perambalur,33307,29-04-2021
Pudukkottai,79266,29-04-2021
Ramanathapuram,68929,29-04-2021
Ranipet,45111,29-04-2021
Salem,333263,29-04-2021
Sivagangai,64188,29-04-2021
Tenkasi,58565,29-04-2021
Thanjavur,137815,29-04-2021
Theni,57269,29-04-2021
Thoothukudi,76399,29-04-2021
Tiruchirapalli,207757,29-04-2021
Tirunelveli,69404,29-04-2021
Tirupathur,66168,29-04-2021
Tiruppur,132658,29-04-2021
Tiruvallur,176248,29-04-2021
Tiruvannamalai,80028,29-04-2021
Tiruvarur,43938,29-04-2021
Vellore,164783,29-04-2021
Villupuram,99467,29-04-2021
Virudhunagar,180636,29-04-2021
Ariyalur,69525,29-05-2021
Chengalpattu,356350,29-05-2021
Chennai,2003667,29-05-2021
Coimbatore,585713,29-05-2021
Cuddalore,192950,29-05-2021
Dharmapuri,137173,29-05-2021
Dindigul,205349,29-05-2021
Erode,210054,29-05-2021
Kallakurichi,92632,29-05-2021
Kancheepuram,125499,29-05-2021
Kanniyakumari,183995,29-05-2021
Karur,95788,29-05-2021
Krishnagiri,206245,29-05-2021
Madurai,338618,29-05-2021
Nagapattinam,97086,29-05-2021
Namakkal,217183,29-05-2021
The Nilgiris,184312,29-05-2021
Perambalur,52459,29-05-2021
Pudukkottai,135722,29-05-2021
Ramanathapuram,107883,29-05-2021
Ranipet,72301,29-05-2021
Salem,480377,29-05-2021
Sivagangai,109870,29-05-2021
Tenkasi,105555,29-05-2021
Thanjavur,209686,29-05-2021
Theni,87454,29-05-2021
Thoothukudi,140602,29-05-2021
Tiruchirapalli,317492,29-05-2021
Tirunelveli,129489,29-05-2021
Tirupathur,101416,29-05-2021
Tiruppur,221958,29-05-2021
Tiruvallur,279097,29-05-2021
Tiruvannamalai,134162,29-05-2021
Tiruvarur,87604,29-05-2021
Vellore,217702,29-05-2021
Villupuram,156501,29-05-2021
Virudhunagar,267072,29-05-2021
Ariyalur,20602,30-03-2021
Chengalpattu,115550,30-03-2021
Chennai,724688,30-03-2021
Coimbatore,184712,30-03-2021
Cuddalore,69286,30-03-2021
Dharmapuri,48296,30-03-2021
Dindigul,61750,30-03-2021
Erode,65013,30-03-2021
Kallakurichi,30450,30-03-2021
Kancheepuram,34373,30-03-2021
Kanniyakumari,55986,30-03-2021
Karur,32448,30-03-2021
Krishnagiri,79108,30-03-2021
Madurai,118417,30-03-2021
Nagapattinam,29540,30-03-2021
Namakkal,75814,30-03-2021
The Nilgiris,69257,30-03-2021
Perambalur,20191,30-03-2021
Pudukkottai,40543,30-03-2021
Ramanathapuram,31145,30-03-2021
Ranipet,21887,30-03-2021
Salem,184984,30-03-2021
Sivagangai,34725,30-03-2021
Tenkasi,33391,30-03-2021
Thanjavur,73774,30-03-2021
Theni,25475,30-03-2021
Thoothukudi,35097,30-03-2021
Tiruchirapalli,107693,30-03-2021
Tirunelveli,35919,30-03-2021
Tirupathur,29314,30-03-2021
Tiruppur,62304,30-03-2021
Tiruvallur,84025,30-03-2021
Tiruvannamalai,42728,30-03-2021
Tiruvarur,20519,30-03-2021
Vellore,78845,30-03-2021
Villupuram,71547,30-03-2021
Virudhunagar,102915,30-03-2021
Ariyalur,41833,30-04-2021
Chengalpattu,248636,30-04-2021
Chennai,1476060,30-04-2021
Coimbatore,418135,30-04-2021
Cuddalore,140691,30-04-2021
Dharmapuri,85512,30-04-2021
Dindigul,134511,30-04-2021
Erode,134002,30-04-2021
Kallakurichi,55225,30-04-2021
Kancheepuram,66785,30-04-2021
Kanniyakumari,116039,30-04-2021
Karur,54313,30-04-2021
Krishnagiri,129186,30-04-2021
Madurai,220434,30-04-2021
Nagapattinam,57719,30-04-2021
Namakkal,136228,30-04-2021
The Nilgiris,129546,30-04-2021
Perambalur,33756,30-04-2021
Pudukkottai,80863,30-04-2021
Ramanathapuram,70172,30-04-2021
Ranipet,45381,30-04-2021
Salem,336952,30-04-2021
Sivagangai,65582,30-04-2021
Tenkasi,59545,30-04-2021
Thanjavur,139773,30-04-2021
Theni,57644,30-04-2021
Thoothukudi,78407,30-04-2021
Tiruchirapalli,211751,30-04-2021
Tirunelveli,70817,30-04-2021
Tirupathur,67469,30-04-2021
Tiruppur,134327,30-04-2021
Tiruvallur,181456,30-04-2021
Tiruvannamalai,81518,30-04-2021
Tiruvarur,44601,30-04-2021
Vellore,166764,30-04-2021
Villupuram,100001,30-04-2021
Virudhunagar,182496,30-04-2021
Ariyalur,70525,30-05-2021
Chengalpattu,358414,30-05-2021
Chennai,2011501,30-05-2021
Coimbatore,592509,30-05-2021
Cuddalore,194716,30-05-2021
Dharmapuri,137730,30-05-2021
Dindigul,206763,30-05-2021
Erode,210684,30-05-2021
Kallakurichi,93818,30-05-2021
Kancheepuram,125942,30-05-2021
Kanniyakumari,183995,30-05-2021
Karur,96166,30-05-2021
Krishnagiri,206745,30-05-2021
Madurai,341792,30-05-2021
Nagapattinam,97812,30-05-2021
Namakkal,218162,30-05-2021
The Nilgiris,185933,30-05-2021
Perambalur,52886,30-05-2021
Pudukkottai,135966,30-05-2021
Ramanathapuram,108186,30-05-2021
Ranipet,73496,30-05-2021
Salem,480524,30-05-2021
Sivagangai,110213,30-05-2021
Tenkasi,107050,30-05-2021
Thanjavur,211141,30-05-2021
Theni,88096,30-05-2021
Thoothukudi,143469,30-05-2021
Tiruchirapalli,317977,30-05-2021
Tirunelveli,130372,30-05-2021
Tirupathur,103516,30-05-2021
Tiruppur,223108,30-05-2021
Tiruvallur,281310,30-05-2021
Tiruvannamalai,136004,30-05-2021
Tiruvarur,88114,30-05-2021
Vellore,218111,30-05-2021
Villupuram,157640,30-05-2021
Virudhunagar,270091,30-05-2021
Ariyalur,20994,31-03-2021
Chengalpattu,118759,31-03-2021
Chennai,746340,31-03-2021
Coimbatore,189007,31-03-2021
Cuddalore,71356,31-03-2021
Dharmapuri,48977,31-03-2021
Dindigul,62946,31-03-2021
Erode,66724,31-03-2021
Kallakurichi,31230,31-03-2021
Kancheepuram,35112,31-03-2021
Kanniyakumari,57140,31-03-2021
Karur,33154,31-03-2021
Krishnagiri,80801,31-03-2021
Madurai,120859,31-03-2021
Nagapattinam,30311,31-03-2021
Namakkal,77397,31-03-2021
The Nilgiris,69938,31-03-2021
Perambalur,20536,31-03-2021
Pudukkottai,41780,31-03-2021
Ramanathapuram,32173,31-03-2021
Ranipet,22487,31-03-2021
Salem,189716,31-03-2021
Sivagangai,35442,31-03-2021
Tenkasi,33867,31-03-2021
Thanjavur,75316,31-03-2021
Theni,26294,31-03-2021
Thoothukudi,35859,31-03-2021
Tiruchirapalli,110234,31-03-2021
Tirunelveli,36728,31-03-2021
Tirupathur,30295,31-03-2021
Tiruppur,64563,31-03-2021
Tiruvallur,86220,31-03-2021
Tiruvannamalai,43727,31-03-2021
Tiruvarur,20799,31-03-2021
Vellore,84762,31-03-2021
Villupuram,72640,31-03-2021
Virudhunagar,107148,31-03-2021
Ariyalur,71873,31-05-2021
Chengalpattu,362792,31-05-2021
Chennai,2021826,31-05-2021
Coimbatore,598405,31-05-2021
Cuddalore,202014,31-05-2021
Dharmapuri,139101,31-05-2021
Dindigul,211126,31-05-2021
Erode,216067,31-05-2021
Kallakurichi,97391,31-05-2021
Kancheepuram,127099,31-05-2021
Kanniyakumari,187706,31-05-2021
Karur,96932,31-05-2021
Krishnagiri,214248,31-05-2021
Madurai,348040,31-05-2021
Nagapattinam,101005,31-05-2021
Namakkal,220732,31-05-2021
The Nilgiris,188497,31-05-2021
Perambalur,53703,31-05-2021
Pudukkottai,138854,31-05-2021
Ramanathapuram,111359,31-05-2021
Ranipet,76229,31-05-2021
Salem,486869,31-05-2021
Sivagangai,113102,31-05-2021
Tenkasi,107666,31-05-2021
Thanjavur,213036,31-05-2021
Theni,97272,31-05-2021
Thoothukudi,150698,31-05-2021
Tiruchirapalli,324630,31-05-2021
Tirunelveli,138147,31-05-2021
Tirupathur,109099,31-05-2021
Tiruppur,233828,31-05-2021
Tiruvallur,286742,31-05-2021
Tiruvannamalai,142296,31-05-2021
Tiruvarur,90234,31-05-2021
Vellore,220956,31-05-2021
Villupuram,161057,31-05-2021
Virudhunagar,272221,31-05-2021
